KO	Pathways	Modules
K06752	ko04940,ko05323,ko05322,ko05321,ko05320,ko05145,ko04658,ko04145,ko05416,ko05330,ko05310,ko05166,ko05332,ko04612,ko05140,ko05150,ko05152,ko04640,ko05164,ko04514,ko04672,ko04659,ko05168	NA
K06755	ko04360	NA
K06754	ko04360	NA
K06757	ko04514	NA
K00248	ko00650,ko00071,ko00280	NA
K04546	ko05034,ko05032,ko04151,ko04062,ko04014,ko04728,ko04371,ko04724,ko04725,ko04726,ko04727,ko05200,ko04713,ko04723	NA
K06209	ko00400	M00025,M00024
K06208	ko00400	M00025,M00024
K11299	ko05168	NA
K16249	ko00361,ko00362,ko00623	M00548
K04547	ko05034,ko05032,ko04742,ko04740,ko04151,ko04745,ko04062,ko04014,ko04728,ko04371,ko04724,ko04725,ko04726,ko04727,ko05200,ko04713,ko04723	NA
K16242	ko00361,ko00362,ko00623	M00548
K16243	ko00361,ko00362,ko00623	M00548
K16240	ko04712	NA
K16241	ko04712	NA
K16246	ko00361,ko00362,ko00623	M00548
K16244	ko00361,ko00362,ko00623	M00548
K16245	ko00361,ko00362,ko00623	M00548
K05556	NA	M00779
K00759	ko00230	NA
K00758	ko00240,ko05219,ko00983	NA
K00753	ko00513	NA
K06470	ko05416,ko04940,ko04672,ko05322,ko05332,ko05320,ko05330,ko04660,ko05323,ko04514,ko05162	NA
K00750	ko00500	NA
K00757	ko00240,ko00983	NA
K00756	ko00240	NA
K06471	ko04670,ko04514,ko05418,ko05144	NA
K05554	NA	M00778
K20868	ko04140	NA
K20863	ko04621	NA
K20862	ko00740	M00125
K20861	ko00740	M00125
K20860	ko00740	M00125
K20866	ko00010	NA
K20865	ko04621	NA
K20864	ko04621	NA
K07151	ko00513,ko00510,ko04141	M00072
K07408	ko00980,ko00140,ko04913,ko00830,ko05204,ko00380	NA
K07409	ko00980,ko00982,ko00140,ko00591,ko00830,ko00232,ko05204,ko00380	NA
K07406	ko00603,ko00600,ko00052,ko00561	NA
K07407	ko00603,ko00600,ko00052,ko00561	NA
K07404	ko00030	M00008,M00004,M00006
K07405	ko00500	NA
K11126	ko05166	NA
K10169	ko04145,ko05152,ko05142,ko04620	NA
K12782	ko04113	NA
K18376	NA	M00660
K18377	NA	M00660
K18370	ko00640	NA
K18371	ko00640	NA
K18372	ko00640	NA
K18373	NA	M00660
K10161	ko05143,ko05142,ko05152,ko05144,ko05162,ko04620,ko05168	NA
K10160	ko05323,ko05142,ko05321,ko05140,ko05146,ko05145,ko05144,ko04066,ko04064,ko04145,ko05134,ko05152,ko05132,ko05133,ko05130,ko04620,ko04151,ko05164,ko05161,ko05162,ko04621,ko05205	M00686
K10163	ko04659,ko05321	NA
K15860	ko02020	NA
K10165	ko04621,ko05321,ko05152,ko04668,ko05131	NA
K10164	ko05205,ko04550	NA
K10167	ko04151	NA
K10166	ko04658,ko04659,ko05321	NA
K01808	ko00030,ko00710,ko00051	M00004,M00167,M00007,M00165
K01809	ko00520,ko00051	M00114
K01800	ko00643,ko00350	M00044
K01801	ko00350	NA
K01803	ko00010,ko00562,ko00710,ko00051	M00001,M00003,M00002
K01804	ko00040	NA
K01805	ko00040,ko00051	NA
K01807	ko00030,ko00710	M00004,M00580,M00167,M00007,M00165
K18219	NA	M00667
K18218	NA	M00667
K18213	ko03013	NA
K18211	ko04911,ko04721	NA
K18210	ko00720	M00620
K18217	ko02010	M00635
